clase,ejecucion,tiempo_ms,memoria_kb
FuncionTangente,30,60,58116
FuncionTangente,31,80,57988
FuncionTangente,32,60,58744
FuncionTangente,33,80,57448
FuncionTangente,34,60,57412
FuncionTangente,35,70,58876
FuncionTangente,36,60,58224
FuncionTangente,37,70,57972
FuncionTangente,38,60,57720
FuncionTangente,39,70,58624
FuncionTangente,40,60,57200
FuncionTangente,41,70,58740
FuncionTangente,42,50,57848
FuncionTangente,43,70,58612
FuncionTangente,44,60,58584
FuncionTangente,45,70,58480
FuncionTangente,46,60,58880
FuncionTangente,47,70,57560
FuncionTangente,48,60,57860
FuncionTangente,49,70,58840
FuncionTangente,50,60,57336
FuncionTangente,51,70,58240
FuncionTangente,52,60,57816
FuncionTangente,53,70,57592
FuncionTangente,54,60,58864
FuncionTangente,55,70,57976
FuncionTangente,56,60,58328
FuncionTangente,57,70,57816
FuncionTangente,58,60,59092
FuncionTangente,59,70,57328
FuncionTangente,60,60,57848
FuncionTangente,61,70,58616
FuncionTangente,62,60,57816
FuncionTangente,63,70,57848
FuncionTangente,64,60,58092
FuncionTangente,65,60,57716
FuncionTangente,66,70,57464
FuncionTangente,67,60,58992
FuncionTangente,68,70,58712
FuncionTangente,69,60,58872
FuncionTangente,70,70,59128
FuncionTangente,71,60,56824
FuncionTangente,72,70,57688
FuncionTangente,73,60,58488
FuncionTangente,74,80,58496
FuncionTangente,75,60,58584
FuncionTangente,76,70,57688
FuncionTangente,77,70,57836
FuncionTangente,78,80,58236
FuncionTangente,79,60,58616
FuncionTangente,80,70,58872
FuncionTangente,81,50,57588
FuncionTangente,82,70,58328
FuncionTangente,83,60,58616
FuncionTangente,84,70,58360
FuncionTangente,85,60,57720
FuncionTangente,86,70,57688
FuncionTangente,87,60,57844
FuncionTangente,88,70,58744
FuncionTangente,89,60,58108
FuncionTangente,90,70,58872
FuncionTangente,91,70,58200
FuncionTangente,92,70,57336
FuncionTangente,93,60,57976
FuncionTangente,94,70,58584
FuncionTangente,95,60,58360
FuncionTangente,96,70,56952
FuncionTangente,97,60,57712
