className,run,durationMs,cpuSamples,heapUsedMB,gcCount,gcPauseMs,topMethod
Code.Java.Abacus.v1.Refactored.MediaArmonica,078,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,037,10,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,059,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,004,12,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,055,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,010,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,027,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,031,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,020,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,048,9,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,087,9,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,074,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,023,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,081,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,022,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,049,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,093,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,077,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,046,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,007,6,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,091,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,006,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,035,10,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,034,7,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,063,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,042,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,005,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,021,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,013,0,1,0,0,0,java.util.ArrayList.isEmpty
Code.Java.Abacus.v1.Refactored.MediaArmonica,094,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.Mediana,058,0,1,0,0,0,java.lang.invoke.MethodHandles$Lookup.getDirectMethodCommon
Code.Java.Abacus.v1.Refactored.Mediana,065,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.Mediana,050,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.Mediana,003,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.Mediana,098,3,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.Mediana,082,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.Mediana,052,3,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.Mediana,080,0,0,0,0,0,N/A
